x;y;z
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1386761;-0,4045534;-0,8835719
0,1953185;-0,6819056;-1,0347
0,1953185;-0,6819056;-1,0347
0,1953185;-0,6819056;-1,0347
0,1953185;-0,6819056;-1,0347
0,1953185;-0,6819056;-1,0347
0,1953185;-0,6819056;-1,0347
0,1953185;-0,6819056;-1,0347
0,1953185;-0,6819056;-1,0347
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,1621143;-0,6867886;-0,9985657
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,2631916;-0,8073977;-0,610126
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,281991;-0,8513443;-0,5898618
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
0,3483993;-0,5808282;-0,7146214
